class,path,data
am,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023289T042914.v2.0
am,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023290T042259.v2.0
an,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023297T042911.v2.0
an,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023298T042303.v2.0
ao,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023305T042909.v2.0
ap,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023306T042302.v2.0
aq,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023313T042908.v2.0
aq,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023314T042300.v2.0
ar,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023321T042912.v2.0
ar,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023322T042303.v2.0
as,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023329T042915.v2.0
as,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023330T042308.v2.0
at,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023337T042917.v2.0
at,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023338T042258.v2.0
au,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023345T042909.v2.0
au,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023346T042306.v2.0
av,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023353T042920.v2.0
av,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023354T042302.v2.0
aw,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023361T042912.v2.0
ax,/home/paudisio/Desktop/2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023362T042309.v2.0
