class,path,data
ah,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023250T042250.v2.0
ai,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023257T042905.v2.0
ai,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023258T042253.v2.0
aj,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023265T042904.v2.0
aj,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023266T042252.v2.0
ak,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023273T042902.v2.0
ak,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023274T042257.v2.0
al,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023281T042908.v2.0
al,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023282T042258.v2.0
am,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023289T042914.v2.0
am,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023290T042259.v2.0
an,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023297T042911.v2.0
an,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023298T042303.v2.0
ao,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023305T042909.v2.0
ap,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023306T042302.v2.0
aq,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023313T042908.v2.0
aq,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023314T042300.v2.0
ar,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023321T042912.v2.0
ar,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023322T042303.v2.0
as,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023329T042915.v2.0
as,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023330T042308.v2.0
at,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023337T042917.v2.0
at,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023338T042258.v2.0
au,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023345T042909.v2.0
au,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023346T042306.v2.0
av,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023353T042920.v2.0
av,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023354T042302.v2.0
aw,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023361T042912.v2.0
ax,./2023/crop/L8_bis_crop,HLS.L30.T46RCT.2023362T042309.v2.0
